games,event,team,pos,medal,as,athlete_id,noc,discipline,nationality
1908 Summer Olympics,"Continental Style, Men (Olympic)",,3.0,Bronze,Gustave Cabaret,460,FRA,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,44.0,,Alain Convard,461,FRA,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,23.0,,Albert Dauchez,462,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,6.0,,Albert Dauchez,462,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,14.0,,Jean-Louis de la Croix,463,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 50 metres, Men (Olympic)",,6.0,,Denet,464,FRA,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,17.0,,Gérard Douis,465,FRA,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,21.0,,Jacques Doyen,466,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Léon Epin,467,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Léon Epin,467,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Léon Epin,467,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Pascal Fauvel,468,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Pascal Fauvel,468,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Pascal Fauvel,468,FRA,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,21.0,,Bruno Felipe,469,FRA,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",France,4.0,,Bruno Felipe,469,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 50 metres, Men (Olympic)",,3.0,Bronze,Émile Fisseux,470,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,13.0,,Émile Fisseux,470,FRA,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,1.0,Gold,Sébastien Flûte,471,FRA,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",France,4.0,,Sébastien Flûte,471,FRA,Archery,
1996 Summer Olympics,"Individual, Men (Olympic)",,39.0,,Sébastien Flûte,471,FRA,Archery,
1996 Summer Olympics,"Team, Men (Olympic)",France,9.0,,Sébastien Flûte,471,FRA,Archery,
2000 Summer Olympics,"Individual, Men (Olympic)",,8.0,,Sébastien Flûte,471,FRA,Archery,
2000 Summer Olympics,"Team, Men (Olympic)",France,11.0,,Sébastien Flûte,471,FRA,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,64.0,,Claude Franclet,472,FRA,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",France,10.0,,Claude Franclet,472,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 50 metres, Men (Olympic)",,7.0,,Galinard,473,FRA,Archery,
1900 Summer Olympics,"Sur La Perche À La Pyramide, Men (Olympic)",,3.0,Bronze,Louis Glineur,474,BEL,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,19.0,,Eugène Grisot,475,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,1.0,Gold,Eugène Grisot,475,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Eugène Grisot,475,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Eugène Grisot,475,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Eugène Grisot,475,FRA,Archery,
1900 Summer Olympics,"Sur La Perche À La Pyramide, Men (Olympic)",,1.0,Gold,Émile Grumiaux,476,FRA,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,19.0,,Olivier Heck,477,FRA,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",France,10.0,,Olivier Heck,477,FRA,Archery,
1900 Summer Olympics,"Au Chapelet, 50 metres, Men (Olympic)",,2.0,Silver,Henri Helle,478,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 50 metres, Men (Olympic)",,4.0,,Henri Helle,478,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 50 metres, Men (Olympic)",,1.0,Gold,Henri Hérouin,479,FRA,Archery,
1900 Summer Olympics,"Championnat Du Monde, Men (Olympic)",,1.0,Gold,Henri Hérouin,479,FRA,Archery,
1900 Summer Olympics,"French Championship, Individual, Men (Olympic (non-medal))",,1.0,,Henri Hérouin,479,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,17.0,,Oscar Jay,480,FRA,Archery,
1976 Summer Olympics,"Individual, Men (Olympic)",,12.0,,Albert le Tyrant,481,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 50 metres, Men (Olympic)",,8.0,,Lecomte,482,FRA,Archery,
1900 Summer Olympics,"French Championship, Individual, Men (Olympic (non-medal))",,2.0,,Lecomte,482,FRA,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,42.0,,Louis-Henry Lemirre,483,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Paul Leroy,484,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Paul Leroy,484,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Paul Leroy,484,FRA,Archery,
1996 Summer Olympics,"Individual, Men (Olympic)",,56.0,,Damien Letulle,485,FRA,Archery,
1996 Summer Olympics,"Team, Men (Olympic)",France,9.0,,Damien Letulle,485,FRA,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,35.0,,Philippe Loyen,486,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Arthur Mabillon,487,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Arthur Mabillon,487,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Arthur Mabillon,487,FRA,Archery,
1900 Summer Olympics,"Au Chapelet, 50 metres, Men (Olympic)",,3.0,Bronze,Émile Mercier,488,FRA,Archery,
1900 Summer Olympics,"Au Chapelet, 50 metres, Men (Olympic)",,1.0,Gold,Eugène Mougin,489,FRA,Archery,
1900 Summer Olympics,"Au Chapelet, 33 metres, Men (Olympic)",,3.0,Bronze,Frédéric Petit,490,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 33 metres, Men (Olympic)",,3.0,Bronze,Frédéric Petit,490,FRA,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,27.0,,Alfred Poupart,491,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,16.0,,Alfred Poupart,491,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Individual, Men (Olympic)",,2.0,Silver,Léonce Quentin,492,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Léonce Quentin,492,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Léonce Quentin,492,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Léonce Quentin,492,FRA,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,24.0,,Charles Quervel,493,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,5.0,,Charles Quervel,493,FRA,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,17.0,,Eugène Richez,494,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,9.0,,Eugène Richez,494,FRA,Archery,
1920 Summer Olympics,"Target Archery, 28 metres, Team, Men (Olympic)",France,3.0,Bronze,Eugène Richez,494,FRA,Archery,
1920 Summer Olympics,"Target Archery, 33 metres, Team, Men (Olympic)",France,2.0,Silver,Eugène Richez,494,FRA,Archery,
1920 Summer Olympics,"Target Archery, 50 metres, Team, Men (Olympic)",France,2.0,Silver,Eugène Richez,494,FRA,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,22.0,,Louis-Albert Salingré,495,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,7.0,,Louis-Albert Salingré,495,FRA,Archery,
1900 Summer Olympics,"Sur La Perche À La Herse, Men (Olympic)",,2.0,Silver,Auguste Serrurier,496,FRA,Archery,
1900 Summer Olympics,"Sur La Perche À La Pyramide, Men (Olympic)",,2.0,Silver,Auguste Serrurier,496,FRA,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,56.0,,Michaël Taupin,497,FRA,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",France,4.0,,Michaël Taupin,497,FRA,Archery,
1900 Summer Olympics,"Au Chapelet, 33 metres, Men (Olympic)",,2.0,Silver,Victor Thibault,498,FRA,Archery,
1900 Summer Olympics,"Au Cordon Doré, 33 metres, Men (Olympic)",,2.0,Silver,Victor Thibault,498,FRA,Archery,
1996 Summer Olympics,"Individual, Men (Olympic)",,8.0,,Lionel Torrés,500,FRA,Archery,
1996 Summer Olympics,"Team, Men (Olympic)",France,9.0,,Lionel Torrés,500,FRA,Archery,
2000 Summer Olympics,"Individual, Men (Olympic)",,37.0,,Lionel Torrés,500,FRA,Archery,
2000 Summer Olympics,"Team, Men (Olympic)",France,11.0,,Lionel Torrés,500,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,11.0,,Charles Vallée,501,FRA,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,37.0,,Thierry Venant,502,FRA,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",France,10.0,,Thierry Venant,502,FRA,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,20.0,,Louis Vernet,503,FRA,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,2.0,Silver,Louis Vernet,503,FRA,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,6.0,,Khatuna Kvrivishvili,504,EUN,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Unified Team,3.0,Bronze,Khatuna Kvrivishvili,504,EUN,Archery,
1996 Summer Olympics,"Individual, Women (Olympic)",,49.0,,Khatuna Kvrivishvili,504,GEO,Archery,
2000 Summer Olympics,"Individual, Women (Olympic)",,46.0,,Khatuna Lorigi,504,GEO,Archery,
2000 Summer Olympics,"Team, Women (Olympic)",Georgia,12.0,,Khatuna Lorigi,504,GEO,Archery,
2008 Summer Olympics,"Individual, Women (Olympic)",,5.0,,Khatuna Lorig,504,USA,Archery,
2012 Summer Olympics,"Individual, Women (Olympic)",,4.0,,Khatuna Lorig,504,USA,Archery,
2012 Summer Olympics,"Team, Women (Olympic)",United States,6.0,,Khatuna Lorig,504,USA,Archery,
1972 Summer Olympics,"Individual, Women (Olympic)",,30.0,,Ursula Büschking,505,FRG,Archery,
1984 Summer Olympics,"Individual, Women (Olympic)",,6.0,,Manuela Dachner,506,FRG,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,43.0,,Astrid Hänschen,507,GER,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Germany,10.0,,Astrid Hänschen,507,GER,Archery,
1984 Summer Olympics,"Individual, Women (Olympic)",,11.0,,Doris Haas,508,FRG,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,32.0,,Doris Haas,508,FRG,Archery,
1988 Summer Olympics,"Team, Women (Olympic)",West Germany,6.0,,Doris Haas,508,FRG,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,6.0,,Claudia Kriz,509,FRG,Archery,
1988 Summer Olympics,"Team, Women (Olympic)",West Germany,6.0,,Claudia Kriz,509,FRG,Archery,
1996 Summer Olympics,"Individual, Women (Olympic)",,8.0,,Barbara Mensing,510,GER,Archery,
1996 Summer Olympics,"Team, Women (Olympic)",Germany,2.0,Silver,Barbara Mensing,510,GER,Archery,
2000 Summer Olympics,"Individual, Women (Olympic)",,29.0,,Barbara Mensing,510,GER,Archery,
2000 Summer Olympics,"Team, Women (Olympic)",Germany,3.0,Bronze,Barbara Mensing,510,GER,Archery,
1972 Summer Olympics,"Individual, Women (Olympic)",,35.0,,Carla Nolpa,511,FRG,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,25.0,,Christa Öckl,512,FRG,Archery,
1988 Summer Olympics,"Team, Women (Olympic)",West Germany,6.0,,Christa Öckl,512,FRG,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,44.0,,Cornelia Pfohl,513,GER,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Germany,10.0,,Cornelia Pfohl,513,GER,Archery,
1996 Summer Olympics,"Individual, Women (Olympic)",,40.0,,Cornelia Pfohl,513,GER,Archery,
1996 Summer Olympics,"Team, Women (Olympic)",Germany,2.0,Silver,Cornelia Pfohl,513,GER,Archery,
2000 Summer Olympics,"Individual, Women (Olympic)",,24.0,,Cornelia Pfohl,513,GER,Archery,
2000 Summer Olympics,"Team, Women (Olympic)",Germany,3.0,Bronze,Cornelia Pfohl,513,GER,Archery,
2004 Summer Olympics,"Individual, Women (Olympic)",,22.0,,Cornelia Pfohl,513,GER,Archery,
2004 Summer Olympics,"Team, Women (Olympic)",Germany,7.0,,Cornelia Pfohl,513,GER,Archery,
1976 Summer Olympics,"Individual, Women (Olympic)",,8.0,,Maria Urban,514,FRG,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,53.0,,Marion Wagner,515,GER,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Germany,10.0,,Marion Wagner,515,GER,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,54.0,,Manfred Barth,516,FRG,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",West Germany,18.0,,Manfred Barth,516,FRG,Archery,
1976 Summer Olympics,"Individual, Men (Olympic)",,6.0,,Willi Gabriel,517,FRG,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,10.0,,Armin Garnreiter,518,FRG,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,15.0,,Detlef Kahlert,519,FRG,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,12.0,,Detlef Kahlert,519,FRG,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",West Germany,18.0,,Detlef Kahlert,519,FRG,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,30.0,,Richard Krust,520,FRG,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,43.0,,Andreas Lippoldt,521,GER,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",Germany,11.0,,Andreas Lippoldt,521,GER,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,32.0,,Frank Marzoch,522,GER,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",Germany,11.0,,Frank Marzoch,522,GER,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,14.0,,Siegfried Ortmann,523,FRG,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,38.0,,Marc Rösicke,524,GER,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",Germany,11.0,,Marc Rösicke,524,GER,Archery,
1976 Summer Olympics,"Individual, Men (Olympic)",,27.0,,Rudi Schiffl,525,FRG,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,59.0,,Bernhard Schulkowski,526,FRG,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",West Germany,18.0,,Bernhard Schulkowski,526,FRG,Archery,
1996 Summer Olympics,"Individual, Women (Olympic)",,34.0,,Sandra Wagner,527,GER,Archery,
1996 Summer Olympics,"Team, Women (Olympic)",Germany,2.0,Silver,Sandra Wagner,527,GER,Archery,
2000 Summer Olympics,"Individual, Women (Olympic)",,54.0,,Sandra Sachse,527,GER,Archery,
2000 Summer Olympics,"Team, Women (Olympic)",Germany,3.0,Bronze,Sandra Sachse,527,GER,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,9.0,,Harry Wittig,528,FRG,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,12.0,,Gertrude Appleyard,529,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,6.0,,Ethel Armitage,530,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,18.0,,Nellie Babington,531,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,10.0,,Adelaide Boddam-Whetham,532,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,19.0,,Dorothy Cadman,533,GBR,Archery,
1976 Summer Olympics,"Individual, Women (Olympic)",,21.0,,Pat Conway,534,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,16.0,,Doris Day,535,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,2.0,Silver,Lottie Dod,536,GBR,Archery,
1972 Summer Olympics,"Individual, Women (Olympic)",,25.0,,Pauline Edwards,537,GBR,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,17.0,,Pauline Edwards,537,GBR,Archery,
1988 Summer Olympics,"Team, Women (Olympic)",Great Britain,5.0,,Pauline Edwards,537,GBR,Archery,
1972 Summer Olympics,"Individual, Women (Olympic)",,16.0,,Lynne Evans,538,GBR,Archery,
1976 Summer Olympics,"Individual, Women (Olympic)",,23.0,,Rachel Fenwick,539,GBR,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,7.0,,Joanne Franks,540,GBR,Archery,
1988 Summer Olympics,"Team, Women (Olympic)",Great Britain,5.0,,Joanne Franks,540,GBR,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,36.0,,Joanne Edens,540,GBR,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Great Britain,13.0,,Joanne Edens,540,GBR,Archery,
1984 Summer Olympics,"Individual, Women (Olympic)",,30.0,,Angela Goodall,541,GBR,Archery,
1980 Summer Olympics,"Individual, Women (Olympic)",,25.0,,Christine Harris,542,GBR,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,46.0,,Sylvia Harris,543,GBR,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Great Britain,13.0,,Sylvia Harris,543,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,3.0,Bronze,Beatrice Hill-Lowe,544,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,5.0,,Dora Honnywill,545,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,20.0,,Martina Hyde,546,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,21.0,,Sarah Leonard,547,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,17.0,,Katherine Mudge,548,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,1.0,Gold,Sybil Newall,549,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,11.0,,Louisa Nott Bower,550,GBR,Archery,
1980 Summer Olympics,"Individual, Women (Olympic)",,22.0,,Gillian Patterson,551,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,13.0,,Lillias Robertson,552,GBR,Archery,
1984 Summer Olympics,"Individual, Women (Olympic)",,29.0,,Eileen Robinson,553,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,24.0,,Emily Rushton,554,GBR,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,51.0,,Cheryl Sutton,555,GBR,Archery,
1988 Summer Olympics,"Team, Women (Olympic)",Great Britain,5.0,,Cheryl Sutton,555,GBR,Archery,
1972 Summer Olympics,"Individual, Women (Olympic)",,21.0,,Carol Sykes,556,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,15.0,,Albertine Thackwell,557,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,23.0,,Janetta Vance,558,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,4.0,,Jessie Wadworth,559,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,9.0,,Brenda Wadworth,560,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,14.0,,Margaret Weedon,561,GBR,Archery,
1984 Summer Olympics,"Individual, Women (Olympic)",,31.0,,Sue Willcox,562,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,25.0,,Hilda Williams,563,GBR,Archery,
1992 Summer Olympics,"Individual, Women (Olympic)",,8,,Alison Williamson,564,GBR,Archery,
1992 Summer Olympics,"Team, Women (Olympic)",Great Britain,13,,Alison Williamson,564,GBR,Archery,
1996 Summer Olympics,"Individual, Women (Olympic)",,10,,Alison Williamson,564,GBR,Archery,
2000 Summer Olympics,"Individual, Women (Olympic)",,9,,Alison Williamson,564,GBR,Archery,
2004 Summer Olympics,"Individual, Women (Olympic)",,3,Bronze,Alison Williamson,564,GBR,Archery,
2004 Summer Olympics,"Team, Women (Olympic)",Great Britain,12,,Alison Williamson,564,GBR,Archery,
2008 Summer Olympics,"Individual, Women (Olympic)",,=17,,Alison Williamson,564,GBR,Archery,
2008 Summer Olympics,"Team, Women (Olympic)",Great Britain,4,,Alison Williamson,564,GBR,Archery,
2012 Summer Olympics,"Individual, Women (Olympic)",,=33,,Alison Williamson,564,GBR,Archery,
2012 Summer Olympics,"Team, Women (Olympic)",Great Britain,=9,,Alison Williamson,564,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,8.0,,Lillian Wilson,565,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,22.0,,Ina Wood,566,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,13,,Robert Backhouse,567,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Robert Backhouse,567,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,21,,Richard Bagnall-Oakeley,568,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Richard Bagnall-Oakeley,568,GBR,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,45.0,,Ron Bishop,569,GBR,Archery,
1980 Summer Olympics,"Individual, Men (Olympic)",,4.0,,Mark Blenkarne,570,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,5,,John Bridges,571,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,John Bridges,571,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,2.0,Silver,Reginald Brooks-King,572,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,18.0,,Charles Coates,573,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,15,,Geoffrey Cornewall,574,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Geoffrey Cornewall,574,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,1.0,Gold,William Dod,575,GBR,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,30.0,,Peter Gillam,576,GBR,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,21.0,,Steven Hallard,577,GBR,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,21.0,,Steven Hallard,577,GBR,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",Great Britain,3.0,Bronze,Steven Hallard,577,GBR,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,13.0,,Steven Hallard,577,GBR,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",Great Britain,3.0,Bronze,Steven Hallard,577,GBR,Archery,
1996 Summer Olympics,"Individual, Men (Olympic)",,55.0,,Steven Hallard,577,GBR,Archery,
1996 Summer Olympics,"Individual, Men (Olympic)",,28.0,,Gary Hardinges,578,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,14,,Robert Heathcote,579,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Robert Heathcote,579,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,6.0,,Harold James,580,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,9.0,,John Keyworth,581,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,12.0,,John Keyworth,581,GBR,Archery,
1976 Summer Olympics,"Individual, Men (Olympic)",,30.0,,Stewart Littlefair,582,GBR,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,17.0,,Roy Matthews,583,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,8,,Hugh Nesham,584,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Hugh Nesham,584,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,4.0,,John Penrose,585,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,10.0,,Perry Keene,586,GBR,Archery,
1976 Summer Olympics,"Individual, Men (Olympic)",,21.0,,David Pink,587,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,11,,Capel Pownall,588,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Capel Pownall,588,GBR,Archery,
1908 Summer Olympics,"Double National Round, Women (Olympic)",,7.0,,Lizzie Foster,589,GBR,Archery,
1984 Summer Olympics,"Individual, Men (Olympic)",,48.0,,Richard Priestman,590,GBR,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,57.0,,Richard Priestman,590,GBR,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",Great Britain,3.0,Bronze,Richard Priestman,590,GBR,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,41.0,,Richard Priestman,590,GBR,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",Great Britain,3.0,Bronze,Richard Priestman,590,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,7.0,,Theodore Robinson,591,GBR,Archery,
1980 Summer Olympics,"Individual, Men (Olympic)",,13.0,,Dennis Savory,592,GBR,Archery,
1972 Summer Olympics,"Individual, Men (Olympic)",,26.0,,John Snelling,593,GBR,Archery,
1908 Summer Olympics,"Double York Round, Men (Olympic)",,12,,Joseph Stopford,594,GBR,Archery,
1908 Summer Olympics,"Continental Style, Men (Olympic)",,AC,,Joseph Stopford,594,GBR,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,3,Bronze,Simon Terry,595,GBR,Archery,
1992 Summer Olympics,"Team, Men (Olympic)",Great Britain,3,Bronze,Simon Terry,595,GBR,Archery,
2008 Summer Olympics,"Individual, Men (Olympic)",,49,,Simon Terry,595,GBR,Archery,
2008 Summer Olympics,"Team, Men (Olympic)",Great Britain,12,,Simon Terry,595,GBR,Archery,
2012 Summer Olympics,"Individual, Men (Olympic)",,=17,,Simon Terry,595,GBR,Archery,
2012 Summer Olympics,"Team, Men (Olympic)",Great Britain,=9,,Simon Terry,595,GBR,Archery,
1988 Summer Olympics,"Individual, Men (Olympic)",,18.0,,Leroy Watson,596,GBR,Archery,
1988 Summer Olympics,"Team, Men (Olympic)",Great Britain,3.0,Bronze,Leroy Watson,596,GBR,Archery,
1992 Summer Olympics,"Individual, Men (Olympic)",,72.0,,Luis Cabral,597,GUM,Archery,
1988 Summer Olympics,"Individual, Women (Olympic)",,60.0,,Chan Siu Yuk,598,HKG,Archery,
